"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8"
"1",-1.63887369753407,"5","male","45","8",0.149692733683032,0.197591198415703,1.7132991259992,-0.610602211698312,-0.784783651778202,-0.90409805792984,0.958216954686359,0.652889647870722
"1",-0.435248818798735,"7","couple","17","9",-0.928006528489842,0.0695223625202176,0.581148338589806,-0.545928182053724,-1.06672671913075,-0.565522712241635,-0.835426138596624,1.78783769062923
"1",-0.498414509253453,"8","couple","27","9",-0.226468967006701,0.184157543505014,0.202819533368333,-0.58994437440235,0.613915181587927,-0.52338788784034,0.292470155270178,1.28295493471517
"1",0.620563342314893,"7","female","6","9",1.73431255011248,-0.432162159763505,-0.599978363210923,0.0761128439738341,0.0550295856017896,-0.906145506872406,-0.0913834177122734,-0.806780645866888
"1",0.473906955986547,"7","couple","42","9",-0.367956713031795,0.589682123495075,1.47241816960247,0.162648940776508,0.863510078933491,-0.0837053854592479,-0.489654849408737,0.425478995552864
"1",0.473906955986547,"7","couple","42","9",0.542193329578909,0.885502919130792,-0.603747295628222,-0.106987968426722,0.3065350612121,1.07182742203604,-0.108512482030776,-0.498236664679952
"1",0.380771914581237,"5","female","42","6",-1.81147427900556,-1.54928838632665,-0.628475995144794,-1.06148778237655,1.98451973239884,-0.449270456801413,2.02381553655983,0.297453217132926
"1",-0.923012327880058,"7","female","26","9",0.297988410168857,0.13526975216123,-0.287749798294308,0.144009096792651,-0.847713830875533,1.2228692630521,0.479627251356423,0.141434699156424
"1",-1.38863983778577,"4","male","12","6",-0.980032637486054,-1.55017494044409,-0.389492678049036,3.23628655916924,-1.74885812676835,-0.470665083172079,-1.3830000704264,0.763620505696765
"1",-2.03014967013715,"5","male","34","8",-1.80999891886118,-1.54717116328274,-1.67831553488948,2.04914405852213,1.3088631008489,-2.10177693701262,1.8146262122985,0.540355281721571
"1",0.338025137640962,"6","female","6","9",0.609691681706351,0.378558105652117,0.197508230894267,0.197126521945481,0.968912523916248,-1.11878220375823,0.965449759470256,0.31576928708445
"1",1.00002964616339,"4","female","0","9",-0.666715969543974,1.22748781489046,0.315494410927132,0.570672826746619,1.50444596703545,-0.0176830381107908,0.910857586499825,-0.298789242974139
"1",0.523930408585782,"7","couple","17","9",1.08752562502477,0.46966534160154,0.0759584534407522,0.320258999538719,0.0318818049891381,0.029652362607407,0.41177638381189,-0.308432188088551
"1",-1.08585369398175,"5","male","49","4",-1.06844614199859,0.0765049620090713,-0.676402389144487,-1.05297782266627,-0.771127113992244,0.407440684410285,-1.6313597137515,1.72417037326092
"1",-1.60074845899972,"5","female","42","8",0.261181540121186,0.177075571230118,0.872345862829913,-0.0738509032537682,2.13099252119767,-0.633268498720909,-0.435715438561334,-0.801572457890789
"1",0.601586591863651,"8","couple","49","9",1.27931500292625,0.511628779271699,-0.801899718363705,1.25055020799,-0.339732578330278,-0.0622463167455075,-0.34993327164431,-0.500790611497492
"1",-0.218549575298121,"4","male","0","3",-1.04264115016577,-0.706837120037377,-0.0156151050139262,-0.419886709600084,-0.995275529626046,-0.737919684620992,0.552797120342155,1.85473662207492
"1",0.26480352365624,"7","male","48","9",-1.52469359893829,-0.817314123918684,0.365216306003299,2.73670591702111,0.715052598310487,0.26664700114783,-0.554951766516587,0.0157032330180975
"1",-1.53171695283635,"4","female","8","4",1.12770114569851,-1.54583249393315,2.06273551928847,-0.426454355925952,-0.630597464639544,-0.180656268593899,-0.994805974212818,-1.41618163074625
"1",-0.144945858650091,"7","male","53","6",0.953561764913178,-0.0775020692039358,0.132628364055528,-0.724412658245482,0.595058449126213,0.697686427446442,0.480372051891527,-1.22780005079274
"1",-0.580119389723015,"7","male","32","5",-0.0402145676522015,0.329437046412183,0.786637372535344,0.531963932292161,0.611444340231649,0.170332279455064,0.0441622211814816,0.558820489796446
"1",-0.580119389723015,"7","male","32","5",0.505989707134491,1.53654278456327,0.742594215268833,0.0303622140866155,-0.40071663651119,0.430818782710195,0.0661851136532991,-0.418735012810942
"1",0.766544910110228,"7","male","6","6",-1.81136919176678,-1.54913758035265,2.26631152859574,1.14267513268185,-1.74790750601601,-2.1033736897009,-1.64056433376214,1.172826405397
