"OCCULIST","HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","HISPANIC","WHYNOWRK","MEMBRACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","HISP_NIC","WHYN_WRK","OCCU_IST","NEWID","AGE","AGE_","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","CU_CODE1","EDUCA","EDUCA_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_","HORIGIN","RC_WHITE","RC_W_ITE","RC_BLACK","RC_B_ACK","RC_NATAM","RC_N_TAM","RC_ASIAN","RC_A_IAN","RC_PACIL","RC_P_CIL","RC_OTHER","RC_O_HER","RC_DK","RC_DK_","ANGVXM","ANGVXM_","ANPVTXM","ANPVTXM_","ANRRXM","ANRRXM_","JSSDEDXM","JSSD_DXM","JSSDEDX1","JSSDEDX2","JSSDEDX3","JSSDEDX4","JSSDEDX5","SLFEMPSM","SLFE_PSM","SLFEMPS1","SLFEMPS2","SLFEMPS3","SLFEMPS4","SLFEMPS5","SOCRRXM","SOCRRXM_","SOCRRX1","SOCRRX2","SOCRRX3","SOCRRX4","SOCRRX5","SS_RRXM","SS_RRXM_","SS_RRX1","SS_RRX2","SS_RRX3","SS_RRX4","SS_RRX5","SS_RRXI","SUPPXM","SUPPXM_","SUPPX1","SUPPX2","SUPPX3","SUPPX4","SUPPX5","SUPPXI","WAGEXM","WAGEXM_","WAGEX1","WAGEX2","WAGEX3","WAGEX4","WAGEX5","WAGEXI","SS_RRB","SS_RRB_","SS_RRBX","SS_RRBX_","SUPPB","SUPPB_","SUPPBX","SUPPBX_","WAGEB","WAGEB_","WAGEBX","WAGEBX_","ASIAN","ASIAN_","OCCUEARN","PAYSTUB","PAYSTUB_","SEMPFRM","SEMPFRM_","SEMPFRMX","SEMP_RMX","SMPFRMB","SMPFRMB_","SMPFRMBX","SMPF_MBX","SEMPFRM1","SEMPFRM2","SEMPFRM3","SEMPFRM4","SEMPFRM5","SEMPFRMI","SEMPFRMM","SEMP_RMM","SOCSRRET","SOCS_RET","WKSTATUS"
,.,0,,"2",,"1","2","2","A","D","A","A","D","A","03356421",74,"D",.,"A",.,"A",.,"A","1","2","D",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",1430,"D",.,"A","2","D",.,"A",12,"D",18622,"D",,"A",,"A","1","D",,"A","2",,"A","2","D",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,18622,"D",18622,18622,18622,18622,18622,1430,"D",1430,1430,1430,1430,1430,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","930",,"A","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","1","D",
,.,0,,"4",,"4","2","2","A","D","A","A","D","A","03356421",41,"D",.,"A",.,"A",.,"A","8","3","D",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A","2",,"A","2","D",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","900",,"A","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D",
,.,0,,"2",,"1","2","2","A","D","A","A","D","A","03356422",74,"D",.,"A",.,"A",.,"A","1","2","D",.,"A",.,"A",.,"A",.,"A",1,.,"A",.,"A",.,"A",.,"A",.,"A",1430,"D",.,"A","2","D",.,"A",12,"D",18622,"D",,"A",,"A","1","D",,"A","2",,"A","2","D",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,18622,"D",18622,18622,18622,18622,18622,1430,"D",1430,1430,1430,1430,1430,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","930",,"A","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","1","D",
,.,0,,"4",,"4","2","2","A","D","A","A","D","A","03356422",41,"D",.,"A",.,"A",.,"A","8","3","D",.,"A",.,"A",.,"A",.,"A",3,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D",,"A",,"A",,"A","2",,"A","2","D",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","900",,"A","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D",
"07",45,52,"1","1",,,"1","1","D","D","D","A","A","D","03356431",56,"D",.,"A",.,"B",.,"A","1","4","D",.,"C",.,"A",.,"A",4973,"D",1,.,"C",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A","2","D",65000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"B",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,65000,"D",65000,65000,65000,65000,65000,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","107","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
"05",25,52,"1","1",,,"1","2","D","D","D","A","A","D","03356431",55,"D",.,"A",.,"A",.,"A","2","4","D",.,"C",.,"A",.,"A",0,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A","1","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,20427,"D",24941,32106,9434,5096,30558,201,,"A",.,"A",,"A",.,"A",,"C",.,"B",,"A","105","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
"07",45,52,"1","1",,,"1","1","D","D","D","A","A","D","03356432",56,"D",.,"A",.,"B",.,"A","1","4","D",.,"C",.,"A",.,"A",4973,"D",1,.,"C",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A","2","D",65000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"B",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,65000,"D",65000,65000,65000,65000,65000,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","107","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
"05",25,52,"1","1",,,"1","2","D","D","D","A","A","D","03356432",55,"D",.,"A",.,"A",.,"A","2","4","D",.,"C",.,"A",.,"A",0,"D",2,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A","2","D",.,"C",.,"A",0,"D","2","D","3","D",,"A","1","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,22583.2,"D",50062,565,17898,20719,23672,201,,"A",.,"A",,"A",.,"A",,"C",.,"B",,"A","105","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
"05",40,52,"1","1",,,"1","1","D","D","D","A","A","D","03356441",53,"D",.,"A",6376,"D",.,"A","1","5","D",3350,"D",.,"A",267,"D",6120,"D",1,267,"D",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A","2","D",80000,"D",.,"A",0,"D","2","D","2","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",6376,"D",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,80000,"D",80000,80000,80000,80000,80000,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","105","1","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
,.,0,,"1",,"1","1","2","A","D","A","A","D","A","03356441",50,"D",.,"A",.,"A",.,"A","2","4","D",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","2","D",.,"A",.,"A",0,"D","2","D","2","D",,"A",,"A","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","930",,"A","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D",
