"OCCULIST","HRSPERWK","WKS_WRKD","EMPLTYPE","MARITAL","HISPANIC","WHYNOWRK","MEMBRACE","SEX","HRSP_RWK","WKS__RKD","EMPL_YPE","HISP_NIC","WHYN_WRK","OCCU_IST","NEWID","AGE","AGE_","ANFEDTXX","ANFE_TXX","ANGVX","ANGVX_","ANPVTX","ANPVTX_","ANRRX","ANRRX_","ANSTATXX","ANST_TXX","CU_CODE1","EDUCA","EDUCA_","FEDTXX","FEDTXX_","GROSPAYX","GROS_AYX","GVX","GVX_","IRAX","IRAX_","JSSDEDX","JSSDEDX_","MEMBNO","PVTX","PVTX_","RRX","RRX_","SCHLNCHQ","SCHL_CHQ","SCHLNCHX","SCHL_CHX","SLFEMPSS","SLFE_PSS","SS_RRX","SS_RRX_","STATXX","STATXX_","SUPPX","SUPPX_","US_SUPP","US_SUPP_","WAGEX","WAGEX_","SS_RRQ","SS_RRQ_","SOCRRX","SOCRRX_","ARM_FORC","ARM__ORC","IN_COLL","IN_COLL_","MEDICARE","MEDI_ARE","PAYPERD","PAYPERD_","HORIGIN","RC_WHITE","RC_W_ITE","RC_BLACK","RC_B_ACK","RC_NATAM","RC_N_TAM","RC_ASIAN","RC_A_IAN","RC_PACIL","RC_P_CIL","RC_OTHER","RC_O_HER","RC_DK","RC_DK_","ANFEDTXM","ANFE_TXM","ANGVXM","ANGVXM_","ANPVTXM","ANPVTXM_","ANRRXM","ANRRXM_","ANSTATXM","ANST_TXM","JSSDEDXM","JSSD_DXM","JSSDEDX1","JSSDEDX2","JSSDEDX3","JSSDEDX4","JSSDEDX5","SLFEMPSM","SLFE_PSM","SLFEMPS1","SLFEMPS2","SLFEMPS3","SLFEMPS4","SLFEMPS5","SOCRRXM","SOCRRXM_","SOCRRX1","SOCRRX2","SOCRRX3","SOCRRX4","SOCRRX5","SS_RRXM","SS_RRXM_","SS_RRX1","SS_RRX2","SS_RRX3","SS_RRX4","SS_RRX5","SS_RRXI","SUPPXM","SUPPXM_","SUPPX1","SUPPX2","SUPPX3","SUPPX4","SUPPX5","SUPPXI","WAGEXM","WAGEXM_","WAGEX1","WAGEX2","WAGEX3","WAGEX4","WAGEX5","WAGEXI","SS_RRB","SS_RRB_","SS_RRBX","SS_RRBX_","SUPPB","SUPPB_","SUPPBX","SUPPBX_","WAGEB","WAGEB_","WAGEBX","WAGEBX_","ASIAN","ASIAN_","OCCUEARN","PAYSTUB","PAYSTUB_","SEMPFRM","SEMPFRM_","SEMPFRMX","SEMP_RMX","SMPFRMB","SMPFRMB_","SMPFRMBX","SMPF_MBX","SEMPFRM1","SEMPFRM2","SEMPFRM3","SEMPFRM4","SEMPFRM5","SEMPFRMI","SEMPFRMM","SEMP_RMM","SOCSRRET","SOCS_RET","WKSTATUS"
"01",45,52,"1","3",,,"1","2","D","D","D","A","A","D",1514331,51,"D",.,"A",.,"A",.,"A",.,"A",.,"A","1","6","D",.,"A",2200,"D",.,"A",.,"C",4590,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","2","D",60000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,60000,"D",60000,60000,60000,60000,60000,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","101","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
,.,.,,"5",,,"1","1","A","A","A","A","A","A",1514331,11,"D",.,"A",.,"A",.,"A",.,"A",.,"A","3",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",4,"D",15,"D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",,,"A",,"A",.,"A",,"A",.,"A",.,.,.,.,.,.,.,"A",,"A",
"01",45,52,"1","3",,,"1","2","D","D","D","A","A","D",1514332,51,"D",.,"A",.,"A",.,"A",.,"A",.,"A","1","6","D",.,"A",2200,"D",.,"A",.,"C",4590,"D",1,.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","2","D",60000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,60000,"D",60000,60000,60000,60000,60000,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","101","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
,.,.,,"5",,,"1","1","A","A","A","A","A","A",1514332,11,"D",.,"A",.,"A",.,"A",.,"A",.,"A","3",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2,.,"A",.,"A",4,"D",15,"D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,.,"A",.,.,.,.,.,.,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A",,,"A",,"A",.,"A",,"A",.,"A",.,.,.,.,.,.,.,"A",,"A",
"02",40,52,"4","5",,,"2","2","D","D","D","A","A","D",1514351,32,"D",.,"A",.,"A",4667,"D",.,"A",.,"A","1","8","D",.,"A",6000,"D",.,"A",.,"A",5355,"D",1,400,"D",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","2","D",70000,"D",.,"A",0,"D","2","D","2","D",,"A","3","D","2",,"A","2","D",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",4667,"D",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,70000,"D",70000,70000,70000,70000,70000,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","102","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
"02",40,52,"4","5",,,"2","2","D","D","D","A","A","D",1514352,32,"D",.,"A",.,"A",4667,"D",.,"A",.,"A","1","8","D",.,"A",6000,"D",.,"A",.,"A",5355,"D",1,400,"D",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","2","D",70000,"D",.,"A",0,"D","2","D","2","D",,"A","3","D","2",,"A","2","D",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",4667,"D",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,70000,"D",70000,70000,70000,70000,70000,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","102","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
"03",50,52,"1","1",,,"1","1","D","D","D","A","A","D",1514391,47,"D",.,"A",.,"A",.,"B",.,"A",.,"A","1","8","D",.,"A",.,"C",.,"A",.,"A",13537,"T",1,5327,"T",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","2","D",250779,"T",.,"A",0,"D","2","D","3","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"B",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,199461.9,"T",199462,199462,199462,199462,199462,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","103","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
"03",40,27,"1","1",,,"1","2","D","D","D","A","A","D",1514391,51,"D",.,"A",.,"A",.,"B",.,"A",.,"A","2","7","D",.,"A",.,"C",.,"A",.,"A",9224,"D",2,1500,"D",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","2","D",150000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"B",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,150000,"D",150000,150000,150000,150000,150000,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","103","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
"03",50,52,"1","1",,,"1","1","D","D","D","A","A","D",1514392,47,"D",.,"A",.,"A",.,"B",.,"A",.,"A","1","8","D",.,"A",.,"C",.,"A",.,"A",13537,"T",1,5327,"T",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","2","D",250779,"T",.,"A",0,"D","2","D","3","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"B",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,199461.9,"T",199462,199462,199462,199462,199462,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","103","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
"03",40,27,"1","1",,,"1","2","D","D","D","A","A","D",1514392,51,"D",.,"A",.,"A",.,"B",.,"A",.,"A","2","7","D",.,"A",.,"C",.,"A",.,"A",9224,"D",2,1500,"D",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A","2","D",150000,"D",.,"A",0,"D","2","D","3","D",,"A","2","D","2","1","D",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",.,"A",.,"B",.,"A",.,"A",0,"D",0,0,0,0,0,0,"D",0,0,0,0,0,.,"A",.,.,.,.,.,.,"A",.,.,.,.,.,100,.,"A",.,.,.,.,.,100,150000,"D",150000,150000,150000,150000,150000,100,,"A",.,"A",,"A",.,"A",,"A",.,"A",,"A","103","2","D","2","D",.,"A",,"A",.,"A",.,.,.,.,.,100,.,"A","2","D","1"
