"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","topic_13","topic_14","topic_15"
"1",-1.63790057658513,"5","male","45","8",-0.904796076631756,0.159742862495136,1.2593546404263,0.794914811648544,0.142687481764535,-0.371725219315922,3.64611666561138,1.89303202439649,2.69857581600346,-1.36509625694907,1.23986007307679,-1.45871082530799,-0.568721170548045,0.539690195982047,-0.836139680158751
"1",-0.433207417945505,"7","couple","17","9",-0.313416445197532,-0.0367738851339671,-1.2098567369217,-0.768123293097432,-0.164557542528209,1.63122152469945,0.572058551998875,-0.27462505539676,0.426864094305183,-0.347295830797725,-0.0707023425036666,-1.11115821745736,-1.1926002853001,1.63926707824444,-0.629404961602156
"1",-0.794553267959024,"8","female","48","9",0.358799523495574,0.33391947596334,-0.163224490163087,-0.393097814016336,-0.572215774281008,0.727704866613848,0.219383350043125,1.65461418613945,0.843254530083477,0.106525590420471,1.19643267677006,-0.713990585229964,0.39720315230648,1.39844563603211,0.0599274367183851
"1",-0.496429171247497,"8","couple","27","9",0.111269785192322,-0.349348316292553,-0.911010060619975,0.346819204684847,-0.643631540364399,1.17216438784923,-0.780312723453068,-0.715784521644444,-0.346034454548921,0.37145207935306,-0.220862491824597,0.802739911153882,-0.105992668074107,-0.524980146387297,-0.586491724917404
"1",0.176037464137385,"6","male","0","9",-0.719572740647745,-0.831397022887055,0.688413399360826,-0.734278321803789,-0.920005731973983,-0.055619228793286,-0.782302736194656,1.38665131026152,-0.349733229468762,-0.225698164259433,0.270220888736023,1.3808700362943,-0.203150872033069,0.677898138017588,-0.544530515297847
"1",0.623541831570285,"7","female","6","9",-0.725045403709136,-0.940729147593015,1.63228898599509,1.68415251653992,-0.233008693993674,-1.16034008788804,-0.675022710055822,2.87691389798601,-0.362124216643882,-0.942747918519649,-0.354766550356979,0.480813612848405,-0.0394261541420779,-0.250665316592769,0.0688187521043693
"1",0.623541831570285,"7","female","6","9",0.902852452421782,0.57450088261877,-0.19174360113553,1.79961179464722,0.835118894832907,-1.15451927877045,0.884237515796691,1.18383562478508,2.74565398747583,-0.326565424582488,-0.599316791238755,0.75717145730269,1.58518051172535,-0.947752688503428,-0.273254948312071
"1",0.383537576428362,"5","female","42","6",-1.15711311723345,-0.193168625110822,-1.93537579633995,-1.29621128250407,-0.927382223964984,-0.927584609436929,-0.793695423904169,-0.728925085394882,-0.370908464525757,0.948102403401035,-1.04401549568273,1.01482543328909,2.52875236383971,-0.826610983871794,-0.387441977924796
"1",-0.921403842600443,"7","female","26","9",0.126411811134924,-0.0343811028424331,0.572576065621478,-0.305039904377213,-0.27621339610295,0.587533549153093,0.0833067333341594,-0.712554646817756,-0.339920566272225,0.485782998993422,0.34566135704778,0.249428038435764,0.693448053452802,0.148380948337848,-0.225594404338274
"1",-1.38744462122509,"4","male","12","6",-1.20589311356869,1.52437845351777,-1.93470115991383,1.58347809845966,2.60774044423283,0.676973246509253,-0.792302959157857,-0.727557814877545,-0.368320333518962,-1.37023323190473,-1.04330115633029,-0.595655371676298,-1.07288596706829,1.53297330619591,-0.547831044753344
