"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2"
"1",1.43580054559878,"5","female","29","7",-0.177581307316033,0.719701317396119
"1",-1.03273591609743,"7","female","53","7",0.509843952394559,-0.737941932106041
"1",0.500259002688787,"6","couple","12","9",0.030985716466174,0.410294182489013
"1",0.500259002688787,"6","couple","12","9",0.471383128432313,-0.602038743284711
"1",1.59613647348426,"5","female","12","3",0.463712005879474,-0.576510730256763
"1",1.59613647348426,"5","female","12","4",-1.83539746161205,1.99710630659877
"1",-1.03273591609743,"5","male","0","5",-0.21761866863346,0.772139571336959
"1",-1.03273591609743,"5","male","0","5",-0.267597517792885,0.834970993050522
"1",0.915429038757105,"7","couple","36","7",0.47179054967227,-0.603408168084346
"1",-1.11675442990572,"8","male","25","9",-0.481960758830764,1.0760762465756
"1",0.246251377021779,"7","female","6","9",0.240533950023307,0.0145487809411858
"1",-0.70291365367028,"7","male","32","9",0.569826524358999,-0.983282527699384
"1",-0.459124880928266,"4","male","48","6",-0.962366571182541,1.49441567775071
"1",-1.02588278953098,"3","male","6","6",0.231125187770351,0.0348192573552235
"1",1.118422037133,"5","couple","12","6",0.570262611933716,-0.98525495380182
"1",-0.377010183272539,"7","couple","42","6",0.232467949972097,0.0319435968346331
"1",-0.377010183272539,"7","couple","42","6",0.337611068348715,-0.213057582223174
"1",-0.811357305477515,"6","female","0","8",-0.366095666313489,0.951061867754264
"1",-0.112391806627623,"5","male","12","9",0.349367043395187,-0.243237181870012
"1",-2.95626239553798,"4","female","0","4",-0.628306383945502,1.21881575522846
"1",0.591345790335384,"7","female","8","6",NA,NA
"1",0.268623942350813,"6","couple","12","6",0.13751504367444,0.222487316214375
"1",-1.64094981361844,"8","male","0","9",-0.00608310485269707,0.470355052640021
"1",1.16262269291189,"4","couple","0","6",0.165283358809091,0.16928956759236
"1",0.654085934176306,"5","female","0","5",-0.374091129191635,0.960069309870242
"1",0.93175489358562,"5","couple","26","6",0.280001589701226,-0.0737059135804398
"1",0.93175489358562,"5","couple","26","6",-0.135516887147547,0.66243668243211
"1",-1.32684649121887,"8","male","9","9",0.40477586358884,-0.394831055323232
"1",-1.86268503850833,"7","male","12","6",-2.74759140032024,2.32229031068251
"1",0.355819297770453,"7","couple","0","9",0.409838210794623,-0.409532292628136
"1",1.02714796262846,"8","couple","6","9",-0.892975687278664,1.44210278971844
"1",1.02714796262846,"8","couple","6","9",0.345270483592586,-0.232647972703625
"1",-0.317451661844788,"4","male","0","8",0.392226313527271,-0.359039726921117
"1",1.59613647348426,"5","male","17","9",-1.57646394982397,1.87290977345081
"1",1.22015515985344,"8","couple","25","7",-0.619009185039371,1.21019951615173
"1",1.22015515985344,"8","couple","25","7",0.496699010312828,-0.689909521259582
"1",0.185407244308105,"7","female","51","9",0.622334995949829,-1.2481761318518
"1",0.185407244308105,"7","female","51","9",0.390372191382929,-0.353828402330431
"1",0.654085934176306,"4","couple","42","9",0.432985642554123,-0.478808580529979
"1",-1.08837564549577,"7","male","26","4",0.442630156236515,-0.508730961885272
"1",0.334355278950696,"7","female","27","8",-0.746467897704842,1.32351044795545
"1",-1.26466001706673,"5","male","49","1",0.306708753200499,-0.136634113251719
"1",-0.438295277025364,"6","female","0","9",-0.901598723329978,1.44873154661162
"1",0.616665706073964,"5","female","0","4",-0.164342386380507,0.701925763569128
"1",0.616665706073964,"5","female","0","4",0.0298299617774553,0.412204752275603
"1",0.0826414450835591,"4","male","6","9",0.0520675884617447,0.374996682680489
"1",0.10680385315865,"7","couple","36","9",-0.327287832922897,0.90648069936623
"1",1.19158462108351,"7","couple","12","5",0.435155038458245,-0.485482666476356
"1",1.14799157780903,"4","female","0","3",-0.0554146439766696,0.54661213622819
"1",-0.667967606885483,"4","male","36","6",0.210626713456217,0.0780280208639428
"1",-1.1746810039776,"8","female","39","9",0.159901993354569,0.179751447648626
"1",1.08843305638128,"8","female","41","7",0.268967582833643,-0.0484866387430455
"1",0.726996183258155,"5","couple","53","9",0.124272495492386,0.247190866686142
"1",0.726996183258155,"5","couple","53","9",-0.908842886646002,1.45427176729831
"1",0.276029160760729,"7","male","36","9",-0.252928166359812,0.816819571367838
"1",0.290762235676222,"8","couple","22","9",0.283586873197962,-0.0819959600528723
"1",-1.96685328401618,"5","couple","48","5",-0.0519458823894901,0.541379544431594
"1",1.01154503059534,"8","couple","12","9",0.145201505443651,0.207954585665073
"1",1.01154503059534,"8","couple","12","8",-0.118638264324078,0.638796413889027
"1",-0.259525087772906,"7","female","36","8",-0.74943547059543,1.32603044379209
"1",-1.56014299580309,"5","female","48","6",-0.631549282193445,1.22180756117269
"1",-0.792892666759412,"8","male","0","9",0.341790815806819,-0.22371472858141
"1",0.654085934176306,"6","female","42","3",0.187152690707657,0.125985326835386
"1",-0.679552225977778,"5","female","15","9",0.585438927165712,-1.05598337459933
"1",0.974684037437288,"4","female","1","6",0.334046267619625,-0.204030758748744
"1",0.726996183258155,"8","couple","53","9",0.177267225509836,0.145719056653779
"1",0.290762235676222,"4","couple","0","6",-0.826023469840037,1.38934236094893
"1",-1.99449011800807,"4","male","55","6",0.309409476205745,-0.143153303466388
"1",-1.31112755119129,"7","male","6","9",0.422185630250529,-0.446054622175738
"1",-0.042494938464347,"7","couple","36","9",0.241722109867087,0.0119687697484866
"1",0.964033195291461,"4","couple","22","9",0.052672942496856,0.373970396854007
"1",-1.14551933205841,"7","couple","49","9",0.706372838206126,-1.9006215226839
"1",0.882394183922936,"6","couple","8","6",0.442357481389187,-0.507875963487042
"1",-0.616608295188453,"7","couple","6","6",0.0343319116384142,0.404748429017223
"1",0.89897613319723,"4","female","13","3",-0.0374910578720757,0.519368215572478
"1",-0.650708835985357,"8","couple","42","9",0.57584165780899,-1.01077573896857
"1",-1.98831730283594,"8","male","13","8",0.556851390841963,-0.926002491705181
"1",0.814734403668465,"7","couple","18","9",-0.370734710608751,0.956295303642621
"1",0.814734403668465,"7","couple","18","9",-0.27496064727868,0.843993718746405
"1",1.08843305638128,"8","couple","18","9",0.437020293522948,-0.491247057183606
"1",1.08843305638128,"8","couple","18","8",0.525122783846631,-0.796087731849116
"1",-0.774587897049252,"7","couple","34","8",0.419964839071521,-0.439414524851934
"1",-0.774587897049252,"7","couple","34","8",0.311371793453846,-0.147908680351894
"1",0.797475632768338,"7","female","22","9",0.193316208641912,0.113545100635933
"1",0.578571203465969,"7","male","51","9",0.428503052790499,-0.465119533209749
"1",-0.5336883460682,"8","female","55","9",0.271403850377034,-0.0540172925514117
"1",0.831853425902476,"7","couple","55","8",0.65432672733341,-1.4472433441854
"1",-0.438295277025364,"3","male","48","5",0.456793815638523,-0.553894144620584
"1",0.604043652496672,"7","male","51","9",0.655127376541068,-1.45275207738291
"1",0.0417467910644191,"6","female","48","9",0.259522997570685,-0.0272434840403153
"1",-0.583049055730884,"8","female","17","9",0.277061097026899,-0.0669420715293814
"1",-0.583049055730884,"8","female","17","9",0.500776320423193,-0.704621419848223
"1",-1.29552461915818,"7","male","26","9",0.111283616418008,0.271022199221537
"1",-1.29552461915818,"7","male","26","9",-0.1988928225736,0.747855674953017
"1",-0.485453835079773,"8","female","17","9",0.582512763697679,-1.04201797494523
"1",-0.848777533579857,"7","male","17","9",0.347891717817355,-0.239414536217266
"1",0.831853425902476,"8","female","12","9",0.295609655931719,-0.110147981099986
"1",-1.26466001706673,"7","couple","49","8",0.406793606619304,-0.400672100014682
"1",-0.347021202520821,"5","couple","26","9",0.215922416108319,0.066987388223901
"1",0.355819297770453,"8","couple","0","8",-0.931862966924436,1.47170623930183
"1",0.76252958598354,"7","female","34","6",0.66927749663316,-1.55560680364565
"1",0.185407244308105,"8","female","36","9",-2.06971533309183,2.09568197420317
"1",1.02714796262846,"8","couple","13","9",-0.198173025415578,0.746913844934837
"1",0.520110676191462,"6","couple","2","9",0.142942261617375,0.212241135066064
"1",0.154315688462531,"6","male","9","1",0.50909180666884,-0.735145589995833
"1",1.118422037133,"5","couple","47","6",-0.25742428271868,0.822408028202168
"1",0.831853425902476,"5","couple","42","8",-0.493541635164343,1.08795453507211
"1",0.831853425902476,"5","couple","42","8",0.473400747043647,-0.608834041599174
"1",-0.874097449318437,"8","female","13","9",0.276841343419177,-0.0664378529144182
"1",-1.93506038873987,"7","couple","48","9",-0.396461201239994,0.984959069164307
"1",-1.04650917454637,"7","couple","53","9",0.470712502794907,-0.599787663459727
"1",-0.789219012152106,"7","male","17","9",0.575888795431263,-1.01099367311304
"1",-0.789219012152106,"7","male","17","9",0.324040126337755,-0.178993177397325
"1",1.59613647348426,"7","couple","0","7",0.0188873702498805,0.430170633885005
"1",0.93175489358562,"4","female","48","8",0.413816398486391,-0.421194893863621
"1",0.726996183258155,"8","couple","41","9",-0.137176609888523,0.664740316111184
"1",-1.4236964485894,"5","female","48","8",-0.884973122277819,1.43591768638896
"1",-1.4236964485894,"5","female","48","8",NA,NA
"1",1.10348071915459,"7","couple","51","9",-0.113620263179064,0.631692181803589
"1",-0.317451661844788,"7","couple","42","9",0.514552892713734,-0.755586458719774
"1",-0.70291365367028,"7","male","0","6",0.285069776741935,-0.0854387401674069
"1",-0.377010183272539,"7","female","24","9",0.422459077217195,-0.446874424176336
"1",0.578571203465969,"5","couple","12","8",0.116611231544289,0.261294328404743
"1",0.744837535505189,"8","couple","48","9",0.586609980201432,-1.06161858426033
"1",-0.259525087772906,"8","couple","53","9",0.412337566147984,-0.416848077867282
"1",-1.56014299580309,"8","female","51","9",0.341695852086215,-0.223471713415395
"1",-0.203143407956506,"6","male","8","5",0.489987262520163,-0.666042877097703
"1",-0.377010183272539,"7","male","48","8",0.722077435618739,-2.11460794939529
"1",-1.64644835428492,"3","male","48","7",0.25535650559058,-0.0179700491435216
"1",-0.774587897049252,"6","female","6","9",0.637976357513311,-1.34081642895114
"1",-0.774587897049252,"6","female","6","9",0.560145164496017,-0.940292836128552
"1",0.0084518085529546,"8","male","29","9",-0.59674252026715,1.18932596483707
"1",-1.90373851667919,"5","male","13","6",0.0937354001676642,0.302613622608611
"1",-0.175506573964617,"5","couple","17","5",0.221185531708746,0.0559311850921613
"1",0.539777680288025,"3","female","55","4",0.155978844233185,0.187331483250043
"1",0.539777680288025,"3","female","55","4",0.695437460397278,-1.78300918262696
"1",-1.00545569637552,"7","female","55","9",0.237435811627948,0.0212547326210086
"1",-0.094699756149271,"7","couple","47","9",0.653177849539159,-1.4393913320791
"1",-1.84245342292636,"8","male","36","9",-0.213732521014246,0.767134234893756
"1",-1.84245342292636,"8","male","36","9",0.510168691437284,-0.739151105501965
"1",0.947955644849228,"7","couple","45","6",0.376248349572073,-0.314752055892769
"1",0.947955644849228,"7","couple","45","6",0.382972718946004,-0.333221202422392
"1",-0.259525087772906,"7","male","48","9",0.167228430898626,0.16548965658446
"1",0.459987543278302,"5","male","41","8",0.025685498164522,0.419035385671779
"1",0.0084518085529546,"4","female","42","7",0.14723251325495,0.204090316235712
"1",0.0084518085529546,"8","male","12","9",0.602718327597558,-1.14200586265007
"1",0.597704254359906,"8","couple","48","9",0.114690238973317,0.26480940322551
"1",0.797475632768338,"6","female","8","3",0.154999761988157,0.189217082697841
"1",1.08843305638128,"8","couple","36","9",0.423882362292,-0.451149327316572
"1",-0.501410044362359,"7","male","6","9",0.326267472864048,-0.184528745861891
"1",-0.588605399781998,"5","male","12","7",0.295880236622191,-0.110787921934978
"1",-0.588605399781998,"5","male","12","8",0.516500669124588,-0.762955328765266
"1",1.17715324972822,"8","male","39","6",0.510461401462172,-0.740241978250234
"1",1.17715324972822,"8","male","39","6",-0.269423152839037,0.837213561566058
"1",1.17715324972822,"7","couple","42","9",0.455102031167724,-0.548420296063968
"1",0.130693233830436,"6","couple","55","9",0.592833492064719,-1.09202558194589
"1",-1.75373322957942,"7","male","12","6",-2.59984358264974,2.27931453473195
"1",-1.40724354302953,"4","female","49","5",NA,NA
"1",0.690855342604568,"7","couple","17","9",0.338944376170313,-0.216448501549782
"1",0.690855342604568,"8","couple","42","9",-0.957366525221627,1.49072342451945
"1",0.785891013676044,"6","female","15","9",0.37594367416203,-0.313920931974227
"1",0.785891013676044,"6","female","15","9",0.421526737835517,-0.444081233526797
"1",-1.54259776901274,"6","female","0","9",0.220191727456752,0.0580253012455671
"1",-1.54259776901274,"6","female","0","9",-1.03892082424391,1.54951706258885
"1",-1.83040673680249,"8","female","12","3",0.658938880653375,-1.47940408222613
"1",0.831853425902476,"6","female","55","3",0.254998954604507,-0.0171769956394741
"1",0.654085934176306,"3","couple","1","1",0.425653526332498,-0.456487602581877
"1",-0.616608295188453,"7","male","21","9",0.121984403890838,0.251417240032072
"1",-1.84245342292636,"3","couple","8","6",0.528879571967637,-0.810794662094555
"1",-0.0771545293589223,"5","female","48","9",0.477961434185541,-0.624322136477597
"1",-0.848777533579857,"7","male","48","7",-0.0504141509167038,0.539062893960877
"1",-0.811357305477515,"7","couple","39","9",0.561928341886022,-0.948098800395061
"1",-0.811357305477515,"7","couple","39","9",0.590413925018222,-1.08011068722644
"1",0.76252958598354,"6","couple","0","6",0.241438225976984,0.0125856214193258
"1",1.02714796262846,"5","female","6","7",NA,NA
"1",1.10348071915459,"6","couple","53","8",0.519498765492913,-0.774380188675051
"1",1.20591815188092,"4","female","0","5",NA,NA
"1",-0.965184236965034,"7","couple","1","9",0.0876301095756284,0.313446482285214
"1",-0.774587897049252,"7","couple","29","9",-1.0351200895154,1.54684321423028
"1",-0.829984630332788,"6","couple","12","8",0.563441560070446,-0.954762002165412
"1",-0.829984630332788,"6","couple","12","8",0.549117623292272,-0.893080731147638
"1",1.17715324972822,"8","couple","6","9",0.313699818864142,-0.153570769254886
"1",1.17715324972822,"8","couple","6","9",NA,NA
"1",0.500259002688787,"4","female","36","6",-0.00866091013587865,0.474440827000105
"1",0.500259002688787,"4","female","36","6",0.155884422508668,0.187513434643457
"1",-0.5336883460682,"6","couple","12","9",0.310069632366329,-0.144751336868442
"1",-1.99449011800807,"7","female","39","8",0.301762492110054,-0.124770508652959
"1",-0.910062627332684,"8","male","42","9",0.639723362569877,-1.35167983619883
"1",0.616665706073964,"4","couple","12","7",-0.66399721898149,1.25136330954141
"1",0.616665706073964,"4","couple","12","7",0.296918562069453,-0.113246267692438
"1",-1.63181723918206,"7","female","20","8",0.461650317820379,-0.569731227835272
"1",-0.745625968877632,"8","male","34","9",0.596255762027755,-1.10908760068054
"1",-1.32684649121887,"8","female","42","9",0.284938727980452,-0.0851341604815288
"1",0.0581996966242938,"7","male","4","6",0.14968181131187,0.199416560745762
"1",0.709002987890104,"7","couple","0","6",0.544371713387325,-0.87329852326703
"1",-1.75373322957942,"3","couple","6","6",0.235009238125656,0.0264855668860043
"1",-1.71357106157967,"4","male","0","9",-0.0870808849705497,0.593522310270779
"1",-1.71357106157967,"4","male","0","9",-0.0602457237225518,0.553868308110268
"1",0.709002987890104,"4","couple","39","8",0.383136075712287,-0.333672901907255
"1",0.709002987890104,"4","couple","39","8",0.443999724274376,-0.513033460667809
"1",1.118422037133,"4","couple","22","9",0.193077573679154,0.114028731343134
"1",-1.00545569637552,"7","couple","22","9",0.564716100374451,-0.960402369336298
"1",0.418934065107447,"4","couple","20","6",0.582981312204572,-1.04424319939141
"1",-0.112391806627623,"8","male","39","9",0.136539284236018,0.224321882845888
"1",-0.112391806627623,"8","male","39","9",0.22313402240538,0.0518166218534957
"1",1.03748630936398,"7","female","48","7",0.364161360551759,-0.282148998612219
"1",-2.31422077323368,"5","male","6","1",0.00358546465856462,0.454927250147086
"1",-0.0597537093644738,"6","male","49","9",0.194096613788157,0.111962368703881
"1",0.797475632768338,"5","couple","36","9",-1.87441818059943,2.01437453993678
"1",1.01154503059534,"6","couple","4","9",0.0433933016664589,0.389623794352177
"1",0.726996183258155,"8","female","48","2",0.519422084876459,-0.774086722832867
"1",0.0334720732819546,"8","female","17","9",0.503573497006143,-0.71481016555917
"1",0.0334720732819546,"8","female","17","9",0.488979540697424,-0.662496258809938
"1",-0.288289989925599,"7","male","36","7",-0.295893945175638,0.86933032220026
"1",0.418934065107447,"4","couple","34","9",0.562701414287709,-0.951498388575004
"1",0.93175489358562,"6","couple","42","9",0.482987118096341,-0.641599225801448
"1",-2.07642120476485,"8","female","0","9",0.0261722871785461,0.418234751733695
"1",-1.66858664761033,"7","couple","13","5",0.402795838182351,-0.389122847465931
"1",0.964033195291461,"7","female","36","6",0.400747315996285,-0.383241602171893
"1",0.964033195291461,"7","female","36","6",0.221294580311572,0.0557012175638086
"1",1.19158462108351,"5","couple","27","7",0.305473544679211,-0.133662296246681
"1",0.500259002688787,"3","male","0","9",0.480736524291751,-0.633834631526639
"1",-1.15713577718725,"8","male","0","9",0.423347313457383,-0.449540734869969
"1",1.34414957695035,"6","couple","33","7",0.531628044265458,-0.821662094351023
"1",1.34414957695035,"6","couple","33","7",0.598843648865984,-1.12215748192727
"1",-0.881387758937303,"7","male","6","9",0.45820305288372,-0.558470682912951
"1",-0.838018285450438,"7","male","6","9",0.513067727773945,-0.749995672237912
"1",-0.756440251763717,"8","female","51","9",0.0520663943888294,0.37499870633589
"1",0.177677116155034,"7","couple","12","9",0.254834451604485,-0.0168122709819805
"1",0.334355278950696,"7","female","4","8",0.476067403417945,-0.617868300079315
"1",0.200783222587091,"7","couple","13","9",0.456311516815506,-0.552331397824839
"1",-1.60765483110697,"2","female","0","5",-0.37484726824249,0.96091808545914
"1",0.93175489358562,"7","couple","0","4",0.306983395912603,-0.137295717218458
"1",1.59613647348426,"6","female","31","3",-0.450021436046813,1.04275728998281
"1",0.78007481277389,"7","couple","48","8",-0.0551354719435691,0.546191709085431
"1",0.78007481277389,"7","couple","48","8",-0.49863158378987,1.09314176823199
"1",1.10348071915459,"5","couple","41","9",0.240690813421753,0.0142084245722619
"1",1.10348071915459,"5","couple","41","9",-0.636177100131441,1.22606498058623
"1",0.89897613319723,"8","couple","12","9",0.121541933453481,0.252233126352404
"1",-1.02588278953098,"4","female","32","9",-0.465536758814696,1.05904661548097
"1",-0.70291365367028,"4","female","13","7",0.276714112525265,-0.0661460054141128
"1",-0.599762088968055,"8","couple","26","9",0.0501484167631271,0.378245578221664
"1",-0.231146303362961,"3","female","0","1",0.414542759278367,-0.423334911420565
"1",1.08843305638128,"4","couple","48","5",0.23968878684886,0.0163812147532699
"1",0.0084518085529546,"5","couple","42","8",0.455994566441422,-0.551305390808576
"1",0.0084518085529546,"5","couple","42","8",0.384570857992409,-0.337646469232121
"1",-0.166373999528243,"4","female","34","8",0.31224790010633,-0.150036879979962
"1",-0.166373999528243,"4","female","34","8",0.102050277064829,0.287729776333224
"1",1.59613647348426,"4","couple","16","5",0.420352460272667,-0.440571211859757
"1",1.37074348350455,"8","couple","0","9",0.132628166030317,0.231652314665077
"1",1.19158462108351,"7","female","12","3",0.179852174446666,0.14058458152334
"1",1.19158462108351,"7","female","12","3",0.520636010411855,-0.778740390716003
"1",-0.910062627332684,"8","male","27","9",0.295475259748338,-0.109830230938691
"1",0.246251377021779,"8","male","48","9",0.00321777892659343,0.455516961954696
"1",-1.45699143110087,"3","male","6","9",0.319392398582722,-0.167510656208554
"1",0.177677116155034,"6","couple","0","9",-0.133940906444245,0.660245834270399
"1",-1.74410137832066,"5","male","0","8",-2.15002465034425,2.12679594433946
"1",1.37074348350455,"8","female","25","3",-0.971473677425192,1.50111072017348
"1",1.37074348350455,"8","female","25","3",-0.750119633124456,1.32661069265163
"1",0.882394183922936,"7","couple","6","8",0.498666674145922,-0.696988835221692
"1",-0.848777533579857,"3","female","6","7",0.268761305518751,-0.0480193297854258
"1",-0.848777533579857,"3","female","6","7",0.374333426437484,-0.309536441557955
"1",1.10348071915459,"7","couple","45","9",-0.762668729413944,1.33720576625565
"1",1.10348071915459,"7","couple","45","9",0.181893319089661,0.136517468667486
"1",-0.688865843218541,"7","female","17","8",-0.291882821802519,0.864511098278007
"1",1.33072611792221,"4","couple","42","8",0.689745912873857,-1.72814164948283
"1",-1.66858664761033,"6","female","27","9",-1.34007147764194,1.74299526706208
"1",0.559263419095792,"7","couple","48","9",0.177693442063702,0.144873706062291
"1",-1.66858664761033,"4","female","0","5",-0.583909506999181,1.17714075559052
"1",-1.66858664761033,"4","female","0","5",-0.0599174609117454,0.553376418620707
"1",-0.317451661844788,"5","male","24","9",0.3779674752423,-0.319450848338819
"1",0.78007481277389,"8","couple","22","9",0.0518927097880651,0.375293028440362
"1",0.200783222587091,"7","female","27","7",NA,NA
"1",0.305393350779076,"8","female","25","9",-0.246703997434918,0.809046213318704
"1",0.305393350779076,"8","female","25","9",0.219886325275957,0.0586682318207798
"1",1.20591815188092,"4","female","0","7",0.609751761195069,-1.17893551044196
"1",1.31721688541111,"7","female","55","4",0.642807764753626,-1.3711386721596
"1",0.459987543278302,"7","couple","45","6",0.1278744393894,0.240512790390117
"1",-1.50793817811817,"7","couple","39","9",0.296402919280732,-0.112024904829949
"1",-1.50793817811817,"7","couple","39","9",NA,NA
"1",0.654085934176306,"7","female","55","8",0.17853640168682,0.143200352138785
"1",0.439560450122842,"4","couple","0","9",0.173028583628079,0.154099384678058
"1",0.439560450122842,"4","couple","0","9",0.44654003665877,-0.521049817085344
"1",0.726996183258155,"4","couple","34","9",0.0100739802444508,0.444481077963686
"1",-0.5336883460682,"5","female","13","6",0.380452883429451,-0.326271859015227
"1",-0.5336883460682,"5","female","13","6",0.254094858954292,-0.015173628655705
"1",-0.848777533579857,"8","male","45","8",0.0938006912899302,0.302497338618168
"1",1.48644219301319,"8","couple","24","9",-0.0783540335255671,0.58074617491147
"1",-0.70291365367028,"6","couple","34","4",0.511607821809056,-0.744523260661654
"1",0.797475632768338,"5","couple","45","9",0.312748540028624,-0.151254428449674
"1",0.154315688462531,"5","female","25","8",0.490498765725383,-0.667846711620727
"1",-1.66858664761033,"4","male","36","1",0.157273334614303,0.184834703144631
"1",-1.06037275008932,"8","female","6","9",0.314042171512945,-0.154405304016956
"1",-1.06037275008932,"8","female","6","9",0.155950820073554,0.187385488386646
"1",-1.70600687571267,"6","male","24","7",0.581508843225096,-1.03726407332814
"1",-1.24635524735657,"7","female","6","9",0.098904446160801,0.293378745167366
"1",0.334355278950696,"6","female","15","9",-0.123100983297585,0.645085020740098
"1",0.654085934176306,"8","couple","36","9",0.206981976218581,0.0855783835734805
"1",0.10680385315865,"7","female","36","8",0.221767212660305,0.0547040852678972
"1",0.10680385315865,"7","female","36","8",-0.701550210880289,1.28473074048687
"1",0.797475632768338,"3","female","4","8",-0.157179808234774,0.692215249605668
"1",-1.90373851667919,"7","male","39","9",-0.123192690293289,0.645213959587313
"1",-0.231146303362961,"5","couple","39","1",-0.264819202067788,0.831551242860861
"1",0.246251377021779,"8","male","6","9",0.576131713612036,-1.01211739520414
"1",0.500259002688787,"3","female","0","5",0.313494339853416,-0.153070116671896
"1",-0.377010183272539,"7","male","9","9",-0.363478707684508,0.948100739643891
"1",0.578571203465969,"8","female","6","9",0.0464073665779335,0.384557921987323
"1",-0.56646710645659,"7","couple","8","7",0.326559165124081,-0.185255267213866
"1",-1.11675442990572,"7","male","26","3",-1.21378915759956,1.66606086884693
"1",-1.00545569637552,"5","male","0","8",0.215387579644151,0.0681062351317874
"1",0.0581996966242938,"5","female","48","8",0.506554921875779,-0.725757755072145
"1",0.290762235676222,"3","female","48","5",0.114714923576006,0.264764288377515
"1",0.290762235676222,"3","female","48","4",0.366883846356764,-0.289427304310352
"1",0.185407244308105,"5","female","6","7",0.614823650514357,-1.20633112402052
"1",0.185407244308105,"5","female","6","7",0.272615098187207,-0.0567748678213636
