"GIFT","AGE","EDUCA","SEX","STATE","INCLASS","topic_1","topic_2","topic_3","topic_4","topic_5"
"1",-1.6489416132143,"5","male","45","8",0.322291576221064,-1.12186714001291,0.158910952092179,0.412175383617727,0.36621875601957
"1",-1.6489416132143,"5","male","45","8",0.0320660034384706,1.88870731013762,0.0443810903357406,-1.09233017289335,0.299370608780298
"1",-0.442206211754207,"7","couple","17","9",0.532087911552532,-0.566098306479882,-1.03666126086089,0.884861805121841,-0.328826884109342
"1",-0.804164629343632,"8","female","48","9",0.659030378034315,-0.163948696014077,-0.21250795402891,-0.246607323329353,-0.626152478060033
"1",0.168071486010767,"6","male","0","9",0.415878022603073,-0.128482132903426,-0.253687972859952,0.683437343898555,-0.121549235049532
"1",0.168071486010767,"6","male","0","9",-0.0321628763548325,-0.590408354026079,1.33522365930848,0.623015523661935,-0.202230625434863
"1",0.616334480298121,"7","female","6","9",0.106512941628784,-0.20691074168815,0.0994425378159298,-0.359947287401196,1.1079754330192
"1",0.616334480298121,"7","female","6","9",0.402014433720535,-0.0452176237097025,0.614686724321304,-0.829518754167866,0.031190576700774
"1",0.469299090485829,"7","couple","42","9",0.649486026571985,-0.170503361099125,-0.00178602970441481,-0.239442624190159,-0.95312781662797
"1",0.375923360583729,"5","female","42","6",0.222305939066128,-1.14590694785124,-1.52247631626253,-0.269398025171994,1.34623746945021
"1",-0.931230246025819,"7","female","26","9",0.385919509902812,0.320127902530096,0.483641161903054,-0.177061747649338,-0.261551835704764
"1",-1.39806107515202,"4","male","12","6",-1.66788093594559,-1.31371421424661,-1.10350895246726,2.92641959727502,1.40663730803103
"1",0.333066113327135,"6","female","6","9",0.57622860974157,-0.094818982740742,0.0477653737739858,0.076053263379851,-0.802088149657333
"1",0.519451818483761,"7","couple","17","9",-0.946195294988696,0.579101202449238,0.828934594284437,0.747422478884958,1.56298342901934
"1",0.519451818483761,"7","couple","17","9",0.293621183501813,-0.582529262843721,0.743060174272433,0.564585050985122,-0.503827281452665
"1",0.899602847269104,"5","female","17","7",-1.23845816834651,-0.605892407781109,1.50713921385681,0.799077924980136,1.56411582334244
"1",0.459124674881466,"8","couple","34","9",0.434789053096806,-0.821843439680833,-0.486832241935958,0.168649980617929,0.523326089396301
